title,stars,quality,imdb_code,keywords,genres,year,eps,type
Legion - Season 2,Dan Stevens;Aubrey Plaza;Jean Smart;Katie Aselton;Bill Irwin;Amber Midthunder;Jeremie Harris;Rachel Keller,HD,,legion - season 2;gostream;watchfree;free movies;watch series;series9,Action;Drama;Sci-Fi,2018,11,series
Archer - Season 9,H. Jon Benjamin;Judy Greer;Amber Nash;Chris Parnell;Aisha Tyler;Jessica Walter;Adam Reed;Lucky Yates,HD,,archer - season 9;gostream;watchfree;free movies;watch series;series9,Action;Animation;Comedy,2018,8,series
Goliath - Season 2,Billy Bob Thornton;Tania Raymonde;Nina Arianda;Diana Hopper;Julie Brister;William Hurt;Ana de la Reguera;Maria Bello,HD 720,,goliath - season 2;gostream;watchfree;free movies;watch series;series9,Drama,2018,8,series
Into The Badlands - Season 3,Daniel Wu;Orla Brady;Aramis Knight;Emily Beecham;Ally Ioannides;Nick Frost;Sherman Augustus,HD 720,,into the badlands - season 3;gostream;watchfree;free movies;watch series;series9,Action;Adventure;Drama,2018,8,series
Supergirl - Season 3,Katie McGrath;Chyler Leigh;Mehcad Brooks;Melissa Benoist;Jeremy Jordan;Chris Wood;David Harewood,HD,,supergirl - season 3;gostream;watchfree;free movies;watch series;series9,Action;Adventure;Drama,2016,23,series
Genius - Season 2,Jon Fletcher;Lucy Russell;Sebastian Roché;Lucas Englander,HD,,genius - season 2;gostream;watchfree;free movies;watch series;series9,Biography;Drama;History,2018,10,series
Marvel's Luke Cage - Season 2,,HD 720p,,marvel's luke cage - season 2;gostream;watchfree;free movies;watch series;series9,Action;Crime;Drama,2018,13,series
Westworld - Season 2,Evan Rachel Wood;Thandie Newton;Jeffrey Wright;James Marsden;Ed Harris;Talulah Riley,HD 720,,westworld - season 2;gostream;watchfree;free movies;watch series;series9,Drama;Mystery;Sci-Fi,2018,10,series
The Expanse - Season 3 ,Steven Strait;Shohreh Aghdashloo;Cas Anvar;Wes Chatham;Shawn Doyle;Dominique Tipper;Frankie Adams;Florence Faivre,HD,,the expanse - season 3 ;gostream;watchfree;free movies;watch series;series9,Drama;Mystery,2018,12,series
GLOW - Season 2,Britney Young;Sydelle Noel;Britt Baron;Marc Maron;Alison Brie;Betty Gilpin;Kimmy Gatewood,HD 720,,glow - season 2;gostream;watchfree;free movies;watch series;series9,Comedy;Drama;Sport,0,10,series
The Blacklist - Season 5 ,James Spader;Amir Arison;Megan Boone;Diego Klattenhoff;Harry Lennix;Mozhan Marnò;Ryan Eggold;Hisham Tawfiq,HD,,the blacklist - season 5 ;gostream;watchfree;free movies;watch series;series9,Crime;Drama;Mystery,2017,22,series
SEAL Team - Season 1,Jessica Paré;Max Thieriot;David Boreanaz;Aj Buckley;Toni Trucks;Judd Lormand;Tyler Grey;Neil Brown Jr.,HD,,seal team - season 1;gostream;watchfree;free movies;watch series;series9,Drama,2017,22,series
Designated Survivor - Season 2,Kiefer Sutherland;Natascha McElhone;Kal Penn;Maggie Q;Italia Ricci;LaMonica Garrett;Jake Epstein;Adan Canto,HD,,designated survivor - season 2;gostream;watchfree;free movies;watch series;series9,Drama;Thriller,2017,22,series
Modern Family - Season 9,Julie Bowen;Ed ONeill;Sofía Vergara;Ty Burrell;Eric Stonestreet;Jesse Tyler Ferguson;Rico Rodriguez;Nolan Gould,HD,,modern family - season 9;gostream;watchfree;free movies;watch series;series9,Comedy;Romance,2017,22,series
The Goldbergs - Season 5,AJ Michalka;George Segal;Sean Giambrone;Patton Oswalt;Jeff Garlin;Wendi McLendon-Covey;Troy Gentile;Hayley Orrantia,HD,,the goldbergs - season 5;gostream;watchfree;free movies;watch series;series9,Comedy,2017,22,series
Riverdale - Season 2,Luke Perry;Marisol Nichols;Cole Sprouse;Lili Reinhart;K.J. Apa;Camila Mendes;Madelaine Petsch;Casey Cott,HD,,riverdale - season 2;gostream;watchfree;free movies;watch series;series9,Drama,2017,22,series
Gotham - Season 4,Sean Pertwee;Ben McKenzie;Donal Logue;David Mazouz;Erin Richards;Robin Lord Taylor;Camren Bicondova;Cory Michael Smith,HD,,gotham - season 4;gostream;watchfree;free movies;watch series;series9,Action;Crime;Drama,2017,22,series
Arrow - Season 6,Katie Cassidy;John Barrowman;Stephen Amell;David Ramsey;Paul Blackthorne;Willa Holland;Emily Bett Rickards,HD,,arrow - season 6;gostream;watchfree;free movies;watch series;series9,Action;Adventure;Crime;Drama;Mystery;Sci-Fi,2017,23,series
Grey's Anatomy - Season 14,Sandra Oh;Patrick Dempsey;Kevin McKidd;Ellen Pompeo;Justin Chambers;Chandra Wilson;James Pickens Jr.;Sara Ramirez,HD,,grey's anatomy - season 14;gostream;watchfree;free movies;watch series;series9,Drama;Romance,2017,24,series
Supernatural - Season 13,Jensen Ackles;Jared Padalecki,HD,,supernatural - season 13;gostream;watchfree;free movies;watch series;series9,Drama;Horror,2017,23,series
Hawaii Five-0 - Season 8,,HD,,hawaii five-0 - season 8;gostream;watchfree;free movies;watch series;series9,Action;Crime;Drama,2016,25,series
Once Upon a Time - Season 7,Ginnifer Goodwin;Colin O'Donoghue;Robert Carlyle;Emilie de Ravin;Jennifer Morrison;Lana Parrilla;Josh Dallas;Jared Gilmore,HD,,once upon a time - season 7;gostream;watchfree;free movies;watch series;series9,Adventure;Fantasy;Romance,2017,22,series
13 Reasons Why - Season 2 ,Dylan Minnette;Katherine Langford;Christian Navarro;Gregg Araki;Michele Selene Ang;Joseph C Phillips;William W Barbour;Michael Sadler;Nina Cheek;Cassie Hendry,HD,,13 reasons why - season 2 ;gostream;watchfree;free movies;watch series;series9,Drama;Mystery,2018,14,series
Marvel's Agents of S.H.I.E.L.D. - Season 5,Clark Gregg;Ming-Na Wen;Brett Dalton,HD ,,marvel's agents of s.h.i.e.l.d. - season 5;gostream;watchfree;free movies;watch series;series9,Action;Drama;Sci-Fi,2017,22,series
Brooklyn Nine-Nine - Season 5,,HD,,brooklyn nine-nine - season 5;gostream;watchfree;free movies;watch series;series9,Action;Comedy;Sitcom,2014,22,series
NCIS: Los Angeles - Season 9,,HD,,ncis: los angeles - season 9;gostream;watchfree;free movies;watch series;series9,Crime;Drama,2015,23,series
Family Guy - Season 16,Seth Green;Patrick Warburton;Mila Kunis;Seth MacFarlane;Alex Borstein;Mike Henry;John Viener;Danny Smith,HD,,family guy - season 16;gostream;watchfree;free movies;watch series;series9,Animation;Comedy;Costume;Crime,2017,20,series
For the People - Season 1,Wesam Keesh;Jasmin Savoy Brown;Rahvaunia,HD,,for the people - season 1;gostream;watchfree;free movies;watch series;series9,Drama,2018,10,series
The Flash -  Season 4,Danielle Panabaker;Grant Gustin;Candice Patton;Jesse L. Martin;Tom Cavanagh;Carlos Valdes;Keiynan Lonsdale,HD,,the flash -  season 4;gostream;watchfree;free movies;watch series;series9,Action;Adventure;Drama,2017,23,series
Deep State - Season 1,Anastasia Griffith;Mark Strong;Joe Dempsie;Karima McAdams;Lyne Renee;Alistair Petrie;Cara Bossom;Adrien Jolivet;Indica Watson;Rachel Shelley,HD 720,,deep state - season 1;gostream;watchfree;free movies;watch series;series9,Drama,2018,8,series
NCIS - Season 15,,HD,,ncis - season 15;gostream;watchfree;free movies;watch series;series9,Action;Crime,2016,24,series
Law & Order: Special Victims Unit - Season 19,Tamara Tunie;BD Wong;Ice-T;Christopher Meloni;Mariska Hargitay;Dann Florek;Richard Belzer,HD,,law & order: special victims unit - season 19;gostream;watchfree;free movies;watch series;series9,Crime;Drama;Mystery,2017,23,series
Krypton - Season 1,Rasmus Hardiker;Ian McElhinney;Georgina Campbell;Elliot Cowan;Ann Ogbomo;Wallis Day;Cameron Cuffe;Aaron Pierre,HD720p,,krypton - season 1;gostream;watchfree;free movies;watch series;series9,Action;Adventure;Drama,2018,10,series
The Terror - Season 1,Jared Harris;Ciarán Hinds;Tobias Menzies,HD 720,,the terror - season 1;gostream;watchfree;free movies;watch series;series9,Drama;Horror,2018,10,series
Lost in Space (2018) - Season 1,Parker Posey;Toby Stephens;Ignacio Serricchio;Molly Parker;Taylor Russell;Mina Sundwall;Maxwell Jenkins;Amelia Burstyn,HD 720,,lost in space (2018) - season 1;gostream;watchfree;free movies;watch series;series9,Sci-Fi,2018,10,series
Ordeal By Innocence - Season 1,Anna Chancellor;Anthony Boyle;Morven Christie,HD 720p,,ordeal by innocence - season 1;gostream;watchfree;free movies;watch series;series9,Drama;Mystery;TV Show,2018,3,series
The Walking Dead - Season 8,,HD,,the walking dead - season 8;gostream;watchfree;free movies;watch series;series9,Drama;Horror;Sci-Fi,2016,16,series
Black Lightning - Season 1,Skye P. Marshall;Christine Adams;Gregg Henry;Cress Williams;Nafessa Williams;China Anne McClain;Damon Gupton;William Catlett,HD,,black lightning - season 1;gostream;watchfree;free movies;watch series;series9,Action;Drama;Sci-Fi,2018,13,series
Criminal Minds - Season 13,Thomas Gibson;Matthew Gray Gubler;Kirsten Vangsness;Joe Mantegna;Shemar Moore;Paget Brewster;Aj Cook,HD,,criminal minds - season 13;gostream;watchfree;free movies;watch series;series9,Crime;Drama;Mystery,2017,22,series
Scandal - Season 7 ,Kerry Washington;Tony Goldwyn;Darby Stanchfield;Katie Lowes;Guillermo Díaz;Bellamy Young;Joshua Malina;Jeff Perry,HD,,scandal - season 7 ;gostream;watchfree;free movies;watch series;series9,Drama;Thriller,2017,18,series
Money Heist - Season 2,Úrsula Corberó;Itziar Ituño;Álvaro Morte;Pedro Alonso;Alba Flores,HD 720p,,money heist - season 2;gostream;watchfree;free movies;watch series;series9,Action;Crime;Mystery,2017,9,series
Suits - Season 7,Gabriel Macht;Gina Torres;Meghan Markle;Patrick J Adams;Rick Hoffman;Sarah Rafferty,HD,,suits - season 7;gostream;watchfree;free movies;watch series;series9,Comedy;Drama,2017,16,series
Homeland - Season 7,Damian Lewis;Rupert Friend;Mandy Patinkin;Claire Danes;Morena Baccarin;F. Murray Abraham;Maury Sterling;Jackson Pace,HD ,,homeland - season 7;gostream;watchfree;free movies;watch series;series9,Crime;Drama,2018,12,series
Good Girls - Season 1,,HD,,good girls - season 1;gostream;watchfree;free movies;watch series;series9,Drama,2018,10,series
Cobra Kai,Tanner Buchanan;Xolo Maridueña;Ralph Macchio;William Zabka;Courtney Henggeler;Mary Mouser;Joe Seo;Jacob Bertrand;Nichole Brown,HD 720,,cobra kai;gostream;watchfree;free movies;watch series;series9,Action;Comedy;Drama,2018,10,series
The Rain - Season 1,Lars Simonsen;Iben Hjejle;Johannes Kuhnke;Rashid Aitouganov;Inge Lise Goltermann,HD,,the rain - season 1;gostream;watchfree;free movies;watch series;series9,Thriller,2018,8,series
Lethal Weapon - Season 2,Mel Gibson;Danny Glover;Joe Pesci,HD,,lethal weapon - season 2;gostream;watchfree;free movies;watch series;series9,Action;Crime;Thriller,2017,22,series
Safe - Season 1,Amanda Abbington;Hannah Arterton;Louis Greatorex,HD 720,,safe - season 1;gostream;watchfree;free movies;watch series;series9,Drama,2018,8,series
The Big Bang Theory - Season 11,Kaley Cuoco;Melissa Rauch;Johnny Galecki;Jim Parsons;Kunal Nayyar;Simon Helberg;Mayim Bialik,HD,,the big bang theory - season 11;gostream;watchfree;free movies;watch series;series9,Comedy,2016,24,series
Young Sheldon - Season 1,Doc Farrow;Wyatt McClure;Danielle Pinnock,HD,,young sheldon - season 1;gostream;watchfree;free movies;watch series;series9,Comedy,2017,22,series
Atlanta - Season 2,Donald Glover;Harold House Moore;Cranston Johnson;RJ Walker;Lakeith Stanfield;Zazie Beetz;Brian Tyree Henry;Matthew Barnes,HD,,atlanta - season 2;gostream;watchfree;free movies;watch series;series9,Comedy;Drama,2018,11,series
Silicon Valley - Season 5,Josh Brener;Thomas Middleditch;T.J. Miller;Amanda Crew;Matt Ross;Martin Starr;Zach Woods;Kumail Nanjiani,HD 720,,silicon valley - season 5;gostream;watchfree;free movies;watch series;series9,Comedy,2018,8,series
Barry - Season 1,Bill Hader;Henry Winkler;Stephen Root,HD 720,,barry - season 1;gostream;watchfree;free movies;watch series;series9,Comedy,2018,8,series
Timeless - Season 2,Matt Lanter;Abigail Spencer;Paterson Joseph;John Getz;Goran Visnjic;Malcolm Barrett;Sakina Jaffrey;Claudia Doumit,HD,,timeless - season 2;gostream;watchfree;free movies;watch series;series9,Action;Adventure;Drama,2018,9,series
The Royals - Season 4,William Moseley;Elizabeth Hurley;Oliver Milburn;Tom Austen;Genevieve Gaunt;Alexandra Park;Jake Maskall;Victoria Ekanoye,HD,,the royals - season 4;gostream;watchfree;free movies;watch series;series9,Drama,2018,10,series
The Resident - Season 1,Merrin Dungey;Bruce Greenwood;Moran Atias;Emily VanCamp;Manish Dayal;Matt Czuchry;Melina Kanakaredes;Shaunette Renée Wilson,HD 720p,,the resident - season 1;gostream;watchfree;free movies;watch series;series9,Drama,2018,14,series
Strike Back - Season 6,Robson Green;Sullivan Stapleton;Philip Winchester;Michelle Lukes;Rhashan Stone,HD,,strike back - season 6;gostream;watchfree;free movies;watch series;series9,Action;Drama;Thriller,2017,10,series
Waco - Season 1,,HD,,waco - season 1;gostream;watchfree;free movies;watch series;series9,Crime;Drama;Thriller;Xmas,2018,6,series
Collateral - Season 1,,HD,,collateral - season 1;gostream;watchfree;free movies;watch series;series9,Crime;Drama;Mystery;TV Show,2018,4,series
Friends season 10,,HD 720,,friends season 10;gostream;watchfree;free movies;watch series;series9,Comedy;Romance,2003,17,series
Jessica Jones - Season 2 ,Eka Darville;Krysten Ritter;Carrie-Anne Moss;David Tennant;Rachael Taylor;JR Ramirez,HD,,jessica jones - season 2 ;gostream;watchfree;free movies;watch series;series9,Action;Crime;Drama,2018,13,series
Sneaky Pete - Season 2,,HD,,sneaky pete - season 2;gostream;watchfree;free movies;watch series;series9,Crime;Drama,2015,10,series
Love - Season 3,,HD 720,,love - season 3;gostream;watchfree;free movies;watch series;series9,Comedy;Drama;Romance,2018,12,series
This Is Us - Season 2,,HD,,this is us - season 2;gostream;watchfree;free movies;watch series;series9,Comedy;Drama,0,18,series
How To Get Away With Murder - Season 4,Karla Souza;Billy Brown;Matt McGorry;Charlie Weber;Viola Davis;Jack Falahee;Liza Weil;Aja Naomi King,HD,,how to get away with murder - season 4;gostream;watchfree;free movies;watch series;series9,Crime;Drama;Mystery,2017,15,series
RuPaul's All Stars Drag Race - Season 3,,HD,,rupaul's all stars drag race - season 3;gostream;watchfree;free movies;watch series;series9,TV Show,2017,8,series
On My Block - Season 1,,HD 720,,on my block - season 1;gostream;watchfree;free movies;watch series;series9,Comedy;TV Show,2018,10,series
The X Files - Season 11,,HD,,the x files - season 11;gostream;watchfree;free movies;watch series;series9,Drama;Mystery;Sci-Fi,2017,10,series
9-1-1 - Season 1,,HD,,9-1-1 - season 1;gostream;watchfree;free movies;watch series;series9,Drama,2018,10,series
American Crime Story - Season 2,John Travolta;Cuba Gooding Jr;Sarah Paulson;Courtney B. Vance;Sterling K. Brown;Kenneth Choi;Christian Clemenson;Romeo Visca,HD,,american crime story - season 2;gostream;watchfree;free movies;watch series;series9,Biography;Crime;Drama,2018,9,series
 Dragon Ball Super,Masako Nozawa;Sean Schemmel,HD 720p,, dragon ball super;gostream;watchfree;free movies;watch series;series9,Action;Adventure;Animation,2015,131,series
